Salon Name,Address,Closing Time
Team FioLu,"Via Angelo Maspoli 21, 6850 Mendrisio"," Open
 – Closes today at 4:00 PM"
I tuoi capelli Sagl,"Via Senago 23, 6915 Pambio-Noranco",
Tecnoarreda SA,"Via Danas 5, 6929 Gravesano"," Closed
 – Opens in an hour"
ClinicAesthetica,"Via Cantonale 2, 6944 Cureglia"," Open by appointment
 – Closes today at 6:30 PM"
Istituto Lady,"Ai Casgnò 11, 6528 Camorino"," Open
 – Closes today at 6:30 PM"
CHOICE HEALTH WELLNESS SPA,"Via dei Faggi 6a, 6912 Pazzallo"," Open
 – Closes today at 7:00 PM"
Banfi's44 Barber Shop,"Via Cantonale 32, 6818 Melano"," Open
 – Closes today at 6:30 PM"
ASTECMA di Corti Dario,"Via Angelo Maspoli 21, 6850 Mendrisio"," Open
 – Closes today at 6:00 PM"
ESTETICAMENTE,"Via Industria 1A, 6807 Taverne"," Open by appointment
 – Closes today at 7:00 PM"
Villa Santa Maria,"Via Cantonale 15, 6942 Savosa"," Closed
 – Opens in 55 minutes"
Glow Beauty GmbH,"St. Johanns-Ring 43, 4056 Basel"," Open
 – Closes today at 6:00 PM"
Beauty Nails Giubiasco di Manuela Meier,"Via Borghetto 10, 6512 Giubiasco"," Open
 – Closes today at 6:30 PM"
Zarucchi Sandra,"Via dal Malögin 1, 7516 Maloja"," Open by appointment
 – Closes today at 7:00 PM"
Art Made Tattoo & Beautycenter,"Via Pobbia 24, 6514 Sementina"," Open by appointment
 – Closes today at 7:00 PM"
Farmacia di Agno SA,"Via Lugano 6, 6982 Agno"," Closed
 – Opens in an hour"
Casa Andrea Cristoforo,"Strada Collinetta 25, 6612 Ascona"," Closed
 – Opens in an hour"
Casa Anziani Malcantonese,"Nucleo Castelrotto 30, 6980 Castelrotto",
Centro Olistico e Reiki Luisa,"Via Villibaldo Bastoria 15, 6600 Solduno"," Open
 – Closes today at 8:30 PM"
Farmacia Centro Grancia,6916 Grancia," Open
 – Closes today at 9:00 PM"
HERBALIFE,"Via Monte Ceneri 18A, 6512 Giubiasco"," Open by appointment
 – Closes today at 6:30 PM"
Residenza Visagno,"Int i Vign da Pèr 10, 6702 Claro"," Closed
 – Opens in an hour"
Universo Sposa,"Via Campagna 2E, 6512 Giubiasco"," Open
 – Closes today at 6:00 PM"
